iter	Passed	Remaining
0	57	57668
1	57	28910
2	58	19322
3	58	14528
4	58	11650
5	58	9738
6	58	8364
7	59	7334
8	59	6533
9	59	5892
10	59	5369
11	59	4932
12	60	4561
13	60	4246
14	60	3971
15	60	3730
16	60	3518
17	61	3329
18	61	3161
19	61	3009
20	61	2871
21	61	2747
22	61	2633
23	62	2529
24	62	2434
25	62	2345
26	62	2263
27	62	2186
28	63	2114
29	63	2048
30	63	1985
31	63	1927
32	63	1872
33	64	1820
34	64	1771
35	64	1725
36	64	1682
37	64	1641
38	65	1601
39	65	1564
40	65	1529
41	65	1496
42	65	1464
43	65	1433
44	66	1404
45	66	1375
46	66	1349
47	66	1324
48	66	1299
49	67	1275
50	67	1253
51	67	1231
52	67	1210
53	67	1190
54	68	1170
55	68	1152
56	68	1133
57	68	1117
58	68	1100
59	69	1083
60	69	1067
61	69	1052
62	69	1037
63	69	1022
64	70	1008
65	70	995
66	70	982
67	70	967
68	70	955
69	70	942
70	71	930
71	71	919
72	71	908
73	71	897
74	71	886
75	72	875
76	72	865
77	72	856
78	72	846
79	72	837
80	73	828
81	73	819
82	73	810
83	73	802
84	73	792
85	73	784
86	73	775
87	74	768
88	74	760
89	74	752
90	74	745
91	74	738
92	75	731
93	75	725
94	75	718
95	75	711
96	75	705
97	75	699
98	76	692
99	76	686
100	76	680
101	76	673
102	76	668
103	76	662
104	77	657
105	77	652
106	77	646
107	77	641
108	77	636
109	78	631
110	78	627
111	78	622
112	78	617
113	78	612
114	79	607
115	79	602
116	79	598
117	79	594
118	79	589
119	79	585
120	79	581
121	80	576
122	80	572
123	80	568
124	80	564
125	80	560
126	80	556
127	81	552
128	81	548
129	81	544
130	81	541
131	81	537
132	81	534
133	82	530
134	82	527
135	82	524
136	82	521
137	82	517
138	83	514
139	83	511
140	83	508
141	83	505
142	83	502
143	84	499
144	84	496
145	84	494
146	84	491
147	84	489
148	85	486
149	85	483
150	85	480
151	85	478
152	85	475
153	86	472
154	86	470
155	86	467
156	86	465
157	86	462
158	87	460
159	87	457
160	87	455
161	87	452
162	87	450
163	87	448
164	88	446
165	88	443
166	88	441
167	88	439
168	88	437
169	89	434
170	89	432
171	89	430
172	89	428
173	89	426
174	90	424
175	90	422
176	90	420
177	90	418
178	90	416
179	90	414
180	91	411
181	91	409
182	91	407
183	91	405
184	91	404
185	91	402
186	92	400
187	92	398
188	92	397
189	92	395
190	93	394
191	93	392
192	93	390
193	93	388
194	93	387
195	93	385
196	94	383
197	94	382
