iter	Passed	Remaining
0	58	58687
1	59	29453
2	59	19705
3	59	14816
4	59	11881
5	59	9925
6	60	8528
7	60	7480
8	60	6665
9	60	6013
10	60	5479
11	61	5035
12	61	4661
13	61	4343
14	61	4062
15	62	3816
16	62	3600
17	62	3407
18	62	3235
19	62	3082
20	63	2942
21	63	2814
22	63	2697
23	63	2590
24	63	2493
25	64	2402
26	64	2318
27	64	2240
28	64	2168
29	64	2100
30	65	2037
31	65	1977
32	65	1921
33	65	1868
34	65	1819
35	66	1772
36	66	1728
37	66	1686
38	66	1646
39	67	1608
40	67	1572
41	67	1537
42	67	1504
43	67	1474
44	68	1444
45	68	1416
46	68	1389
47	68	1362
48	68	1337
49	69	1313
50	69	1291
51	69	1268
52	69	1247
53	70	1226
54	70	1206
55	70	1188
56	70	1169
57	70	1151
58	71	1133
59	71	1116
60	71	1100
61	71	1084
62	71	1069
63	72	1054
64	72	1039
65	72	1025
66	72	1012
67	72	999
68	73	986
69	73	973
70	73	961
71	73	949
72	73	938
73	74	927
74	74	916
75	74	905
76	74	895
77	74	885
78	75	875
79	75	865
80	75	856
81	75	847
82	75	836
83	75	828
84	76	819
85	76	811
86	76	803
87	76	795
88	76	787
89	77	779
90	77	772
91	77	764
92	77	757
93	77	750
94	78	744
95	78	737
96	78	730
97	78	724
98	78	718
99	79	711
100	79	705
101	79	699
102	79	693
103	79	688
104	80	682
105	80	676
106	80	671
107	80	666
108	80	661
109	81	655
110	81	650
111	81	645
112	81	641
113	81	636
114	82	631
115	82	627
116	82	622
117	82	618
118	82	613
119	83	609
120	83	604
121	83	600
122	83	596
123	83	592
124	84	588
125	84	584
126	84	579
127	84	576
128	84	572
129	85	569
130	85	565
131	85	561
132	85	558
133	85	554
134	85	550
135	86	547
136	86	544
137	86	540
138	86	537
139	86	534
140	87	530
141	87	527
142	87	524
143	87	520
144	87	517
145	88	514
146	88	512
147	88	509
148	88	506
149	88	503
150	89	500
151	89	498
152	89	495
153	89	492
154	89	489
155	90	487
156	90	484
157	90	482
158	90	479
159	90	476
160	90	473
161	91	471
162	91	468
163	91	466
164	91	464
165	91	461
166	92	459
167	92	457
168	92	455
169	92	453
170	93	450
171	93	448
172	93	446
173	93	444
174	93	442
175	94	440
176	94	438
177	94	436
178	94	434
179	94	432
180	95	430
181	95	428
182	95	426
183	95	424
184	95	422
185	96	420
186	96	418
187	96	416
188	96	414
189	96	413
190	97	411
191	97	409
192	97	407
193	97	405
194	97	404
195	98	402
196	98	400
197	98	398
198	98	397
199	98	395
200	99	393
201	99	392
202	99	390
203	99	388
204	99	387
205	100	385
206	100	384
207	100	382
208	100	381
209	100	379
210	101	378
211	101	376
212	101	375
213	101	373
214	101	372
215	102	370
216	102	369
217	102	367
218	102	366
219	102	364
220	103	363
221	103	362
222	103	360
223	103	359
224	103	357
225	104	356
226	104	355
227	104	353
228	104	352
229	104	351
230	105	349
231	105	348
232	105	347
233	105	345
234	105	344
235	106	343
236	106	341
237	106	340
238	106	339
239	106	338
240	107	337
241	107	335
242	107	334
243	107	333
244	107	332
245	108	331
246	108	330
247	108	328
248	108	327
249	108	326
250	109	325
251	109	324
252	109	323
253	109	321
254	109	320
255	110	319
256	110	318
257	110	317
258	110	316
259	110	315
260	111	314
261	111	313
262	111	312
263	111	311
264	111	310
265	111	309
266	112	307
267	112	306
268	112	305
269	112	304
270	112	303
271	113	302
272	113	301
273	113	300
274	113	299
275	113	298
276	114	297
277	114	296
278	114	295
279	114	294
280	114	293
281	115	292
282	115	292
283	115	291
284	115	290
285	115	289
286	116	288
287	116	287
288	116	286
289	116	285
290	116	284
291	117	283
292	117	282
293	117	282
294	117	281
295	117	280
296	118	279
297	118	278
298	118	277
299	118	276
300	118	275
301	119	275
302	119	274
303	119	273
304	119	272
305	119	271
306	120	270
307	120	270
308	120	269
309	120	268
310	120	267
311	120	266
312	121	266
313	121	265
314	121	264
315	121	263
316	121	262
317	122	262
318	122	261
319	122	260
320	122	259
321	122	258
322	123	258
323	123	257
324	123	256
325	123	255
326	123	255
327	124	254
328	124	253
329	124	252
330	124	252
331	124	251
332	125	250
333	125	249
334	125	249
335	125	248
336	125	247
337	126	246
338	126	246
339	126	245
340	126	244
341	126	244
342	127	243
343	127	242
344	127	242
345	127	241
346	127	240
347	128	240
348	128	239
349	128	238
350	128	237
351	128	237
352	129	236
353	129	235
354	129	235
355	129	234
356	129	233
357	130	233
358	130	232
359	130	231
360	130	231
361	130	230
362	131	229
363	131	229
364	131	228
365	131	228
366	131	227
367	132	226
368	132	226
369	132	225
370	132	225
371	132	224
372	133	223
373	133	223
374	133	222
375	133	221
376	133	221
377	134	220
378	134	219
379	134	219
380	134	218
381	134	218
382	135	217
383	135	216
384	135	216
385	135	215
386	135	215
387	136	214
388	136	213
389	136	213
390	136	212
391	136	212
392	136	211
393	137	210
394	137	210
395	137	209
396	137	209
397	138	208
398	138	208
399	138	207
400	138	207
401	138	206
402	139	205
403	139	205
404	139	204
405	139	204
406	139	203
407	139	203
408	140	202
409	140	202
410	140	201
411	140	201
412	141	200
413	141	200
414	141	199
415	141	198
416	141	198
417	142	197
418	142	197
419	142	196
420	142	196
421	142	195
422	143	195
423	143	194
424	143	194
425	143	193
426	143	193
427	144	192
428	144	191
429	144	191
430	144	190
431	144	190
432	144	189
433	145	189
434	145	188
435	145	188
436	145	187
437	145	187
438	146	186
439	146	186
440	146	185
441	147	186
442	147	185
443	147	185
444	148	184
445	148	184
446	148	183
447	148	183
448	148	182
449	149	182
450	149	181
451	149	181
452	149	180
453	149	180
454	150	179
455	150	179
456	150	178
457	150	178
458	150	177
459	151	177
460	151	176
461	151	176
462	151	175
463	151	175
464	152	174
465	152	174
466	152	174
467	152	173
468	152	173
469	153	172
470	153	172
471	153	171
472	153	171
473	153	170
474	154	170
475	154	169
476	154	169
477	154	168
478	154	168
479	155	167
480	155	167
481	155	166
482	155	166
483	155	166
484	156	165
485	156	165
486	156	165
487	156	164
488	157	164
489	157	163
490	157	163
491	157	163
492	158	162
493	158	162
494	158	161
495	158	161
496	159	160
497	159	160
498	159	160
499	159	159
500	160	159
501	160	158
502	161	159
503	161	158
504	161	158
505	161	157
506	161	157
507	162	157
508	162	156
509	162	156
510	163	156
511	163	155
512	163	155
513	163	154
514	164	154
515	164	154
516	164	153
517	164	153
518	164	152
519	165	152
520	166	152
521	166	152
522	166	151
523	166	151
524	166	150
525	167	150
526	167	150
527	167	149
528	167	149
529	167	148
530	167	148
531	168	147
532	168	147
533	168	147
534	168	146
535	168	146
536	169	145
537	169	145
538	169	145
539	169	144
540	169	144
541	170	143
542	170	143
543	170	142
544	170	142
545	170	142
546	171	141
547	171	141
548	171	140
549	171	140
550	171	140
551	172	139
552	172	139
553	172	138
554	172	138
555	172	138
556	173	137
557	173	137
558	173	136
559	173	136
560	173	136
561	174	135
562	174	135
563	174	134
564	174	134
